ID,CAP_Min,CAP_Max,CAP_Avg,CAP_Std,CAP_Spe,CAP_Eng,CLT_Min,CLT_Max,CLT_Avg,CLT_Std,CLT_Spe,CLT_Eng,CR_Min,CR_Max,CR_Avg,CR_Std,CR_Spe,CR_Eng,HAP_Min,HAP_Max,HAP_Avg,HAP_Std,HAP_Spe,HAP_Eng,HLT_Min,HLT_Max,HLT_Avg,HLT_Std,HLT_Spe,HLT_Eng,HR_Min,HR_Max,HR_Avg,HR_Std,HR_Spe,HR_Eng,LSF_Min,LSF_Max,LSF_Avg,LSF_Std,LSF_Spe,LSF_Eng,LSA_Min,LSA_Max,LSA_Avg,LSA_Std,LSA_Spe,LSA_Eng,LSI_Min,LSI_Max,LSI_Avg,LSI_Std,LSI_Spe,LSI_Eng,NF_Min,NF_Max,NF_Avg,NF_Std,NF_Spe,NF_Eng,NS_Min,NS_Max,NS_Avg,NS_Std,NS_Spe,NS_Eng,REF_Min,REF_Max,REF_Avg,REF_Std,REF_Spe,REF_Eng,RES_Min,RES_Max,RES_Avg,RES_Std,RES_Spe,RES_Eng,RSF_Min,RSF_Max,RSF_Avg,RSF_Std,RSF_Spe,RSF_Eng,RSA_Min,RSA_Max,RSA_Avg,RSA_Std,RSA_Spe,RSA_Eng,RSI_Min,RSI_Max,RSI_Avg,RSI_Std,RSI_Spe,RSI_Eng,Affect
29,-11.356553,2.3541925,-5.8877032082,3.20162813916053,0.221064361,1.87361005048991,2.7109518,5.316137,3.728791744,0.570581089721722,0.035229109,0.0366577226216555,1.0054574,6.338378,3.204362101,1.76623903988249,0.059905251,0.0883089591592109,18.529953,25.369677,20.16733829,1.43454023615913,0.07601589,0.23702803016275,-6.530411,-4.387699,-5.128204866,0.52856107973679,0.022637112,0.014214327996031,-15.189422,-14.681551,-15.056328455,0.110814830248234,0.009369125,0.0029248598178725,-17.714598,-8.350622,-14.671654495,2.86819103516832,0.12586496,0.4001530657549,-8.812733,1.0330099,-5.9078385346,2.67045590830634,0.124860071,0.911181442468528,-24.484083,-12.48114,-19.826263405,3.73802855044423,0.15156785,0.65403506751659,-5.295447,0.24356943,-2.91305835878,1.41607619475518,0.1041918393,0.227282644295374,-5.634047,20.411667,7.1445650933,9.31787195968799,0.3562599532,3.11749649980866,-34.439796,-23.108837,-24.87826363,2.74585791430756,0.13733662,1.07587967382368,-23.031258,5.7891865,-4.921068347327,9.62884053019157,0.3483492483,7.07325319864975,-10.837118,-2.680937,-7.809904661,2.37279877202856,0.156057569,0.673359566751284,4.664499,13.004608,10.518074108,1.59109214163885,0.12122622,0.728167193758925,22.62949,33.35495,29.26101274,3.6215459805524,0.14833254,0.57633633116798,NE
30,-9.144093,5.061673,-1.8793919784,4.46624541688897,0.201774621,0.988646241099791,3.1635022,8.616598,5.267613894,1.29301268737923,0.075661505,0.152942297969029,-0.90820897,7.9501495,3.3917216668,1.99660744388257,0.1519180647,0.720054296970756,9.008351,27.771301,20.764221065,7.22807128199166,0.19284913,1.20680129897835,-7.4766803,-1.7962483,-4.980139538,2.16649649830753,0.053061882,0.094690086304482,-19.098192,-11.686903,-15.38014441,1.62455923252307,0.1243005,0.6105461978623,-20.328144,-8.554806,-12.852187745,3.86817125000103,0.15001577,0.50740619045173,-7.696246,2.0229526,-3.5202030283,3.29420742309244,0.15353082,0.594364503290684,-22.369614,-13.502158,-19.06278447,2.12444158588256,0.14651102,0.50895480126906,-14.286265,2.632046,-3.509950934998,5.19356693363833,0.2390458406,1.25197281765304,-12.227671,21.97445,7.28595068532,12.6360094474451,0.350762657,3.69637923622985,-36.91577,-20.698439,-28.63405,5.37939840128164,0.1829995,0.77556857896674,-35.47235,3.3231134,-10.93109575365,12.5999658881379,0.5740780157,9.01594003184939,-12.477776,-5.3434267,-9.164583041,1.90211986822655,0.104725173,0.266504594809541,1.4316885,12.901447,7.010878953,4.25914633942442,0.141656134,0.444077458933767,26.695202,33.630333,29.44495426,1.66514015523713,0.16510021,0.61394989073337,NE
31,-7.496914,-2.3436956,-4.576076856,1.31029546413213,0.093464363,0.179547492538198,4.527508,5.0702386,4.767166359,0.118018651043161,0.01384003,0.00473049078508859,2.5998769,4.13236,3.437621427,0.400337196536752,0.028634852,0.0194325477588852,11.019767,15.683893,14.26374328,1.18961569724635,0.06888634,0.11446826892088,-3.1238096,-2.143386,-2.79365193,0.222065648939003,0.01725173,0.006762088169833,-16.384506,-16.003536,-16.18500253,0.0959004481114076,0.00433959999999995,0.000406637143699992,-18.579912,-13.380211,-16.176951515,1.1613012908466,0.09075521,0.18068676561115,-5.632298,-4.527355,-5.047658991,0.284653146457841,0.022989715,0.0111516337373085,-20.78952,-18.858688,-19.57355322,0.410915613845829,0.03450837,0.0327847380110899,-9.948594,-4.2014174,-6.444042886,1.24812136884314,0.092390775,0.205756622503248,-8.910909,0.2786978,-5.964315814,1.95242298808004,0.09497753,0.327054005658296,-26.64231,-23.452578,-25.15425292,1.01945525965136,0.03770411,0.03170197431707,-29.13877,-20.748207,-25.77211422,1.85717184456745,0.19608749,0.83774652438675,-11.751717,-6.516549,-9.188802126,1.21887875377087,0.08681045,0.160447956056155,10.165822,12.078216,11.25136367,0.486598236009743,0.0317501,0.02305309887752,26.548632,29.045582,28.03303944,0.727984205518159,0.05799725,0.0860219458042098,NE
32,-2.7836125,-0.7090303,-1.7966833756,0.48512981501867,0.052404792,0.0653227206565224,2.4549854,4.44082,3.144448989,0.359499357551987,0.033040757,0.0444691915334373,2.4527817,4.086749,3.588970609,0.406953255198366,0.03463883,0.0354318618453022,15.123061,17.120047,16.17359985,0.58406653652514,0.03887233,0.03931636388507,-3.656655,-3.1144526,-3.350639153,0.119816150897346,0.012121511,0.0041385807082819,-16.441862,-16.156252,-16.31412105,0.0751297083832018,0.00681968000000005,0.00107680851948002,-18.425358,-15.391659,-16.656949855,0.798907340690928,0.0602217299999999,0.0942827177984298,-4.601835,-3.657225,-3.953821207,0.206189797170251,0.020179464,0.0124252733337146,-21.806915,-20.004894,-21.09819171,0.504018051935658,0.04209285,0.04764718308489,-5.9553957,-0.5351972,-2.4187503164,1.66938186819383,0.101613409,0.2469095329285,1.1207587,16.15068,13.925252678,3.49317958208459,0.161891593,1.56242723244012,-27.929808,-26.496225,-27.16291758,0.360210228832384,0.0309080600000001,0.0216749280006201,-24.927973,-22.158024,-23.01524502,0.735896617995566,0.04685672,0.0680472836908999,-11.555236,-9.418258,-10.48196143,0.62452546924578,0.04762783,0.060644160532445,9.25651,10.256334,9.787598285,0.242731313662576,0.020306475,0.00903654514447249,28.36363,32.66439,29.65369496,0.954380119840901,0.08214317,0.25449579545365,NE
33,-4.3706365,-1.5456296,-2.13390314,0.749656449345392,0.034912825,0.0524656596905847,3.3429995,4.6957126,3.633866855,0.309934450070907,0.015574893,0.0090926282655105,3.7706428,4.1677017,4.002845945,0.0924547731414372,0.008959091,0.0017439372806805,16.379171,19.995565,17.42486294,1.11978298420001,0.03840387,0.05194547737491,-3.8026237,-3.2013621,-3.360308256,0.155034512348758,0.008708481,0.0023159547746909,-16.424109,-16.153315,-16.34426431,0.0611218610290166,0.00415940000000003,0.000682518447840008,-16.150612,-13.029083,-15.554428515,0.795399853047679,0.03550846,0.0533641013005,-5.3335743,-3.8349051,-4.132319821,0.384634673012496,0.018209726,0.0128652534241506,-21.876524,-20.22909,-21.47915135,0.332658550041912,0.02253421,0.01939092211215,-6.696531,-0.53077155,-1.6678005252,1.3936500509204,0.0678047951,0.207776170124384,-3.5690026,16.314138,14.0172860648,4.62852587691151,0.199507366,3.32727938741804,-28.349543,-27.325453,-27.74948325,0.243321678456932,0.02416091,0.01646998885687,-22.724302,-10.997822,-21.49793492,2.441285927658,0.12408747,1.14835061811973,-10.244301,-6.630508,-9.521530198,0.99804707376562,0.04040177,0.07783414903779,9.301953,10.467534,9.535851025,0.224586781464634,0.01675082,0.01243051909302,28.659365,30.685408,29.23388159,0.45356446160658,0.03615256,0.0485927620464199,NE
34,-11.509026,0.95424443,-5.236427057648,3.55037972054643,0.3042329713,1.93862912295413,1.5229353,8.875991,4.288967603,1.58381414873521,0.124187492,0.378557396811857,-0.100628085,5.4479065,2.34138286335,1.38428640987051,0.15668202525,0.569995304040248,6.507282,19.157944,11.882294008,2.73155669495902,0.17295277,0.86910227734255,-5.9303446,-1.830299,-2.7852796,0.994002685418602,0.077169258,0.180876938691223,-21.044441,-14.771875,-17.76822023,1.78137373385527,0.14593923,0.553460844596549,-19.237263,-12.828356,-15.760657205,1.71025150922061,0.1379931,0.39388414395244,-9.115818,-2.7270408,-5.147905358,1.6127647168367,0.130768814,0.413229787994457,-21.180595,-18.330835,-19.76790257,0.734559891090312,0.09417782,0.20430911065854,-13.617315,-1.6329094,-6.271738656,2.5839934324324,0.243670787,1.33631728019039,-4.34908,23.913046,13.04068198554,9.02610534463701,0.391237595,4.60138338370194,-28.086418,-20.164146,-24.49332711,2.46968051406982,0.22495005,1.09013190998253,-28.657259,-13.917579,-22.70701117,3.8010134695365,0.31802805,2.85449525806271,-13.240321,-5.8162274,-9.780126643,2.40716030541872,0.167878272,0.661718176551454,9.462187,14.774999,11.97975277,1.49164191776252,0.13139596,0.3759209943345,23.198925,32.17717,27.32396901,2.3280075517223,0.22165384,1.04086403766676,NE
35,-8.214688,-0.25131154,-3.6444449565,2.40736354425226,0.1187250686,0.32765542474438,3.142387,5.744495,4.426654031,0.748310585528211,0.050338721,0.0792699541972161,3.0933437,5.8828087,4.798249646,0.564333371346676,0.050620274,0.063324823641823,7.942791,16.108368,12.498195273,2.36526574368869,0.089025755,0.237118428270323,-4.5025787,-2.4839413,-4.120518211,0.375191404225705,0.025735567,0.0319103133635291,-17.217638,-16.528257,-16.78174464,0.141029404744315,0.01556569,0.00711745903393003,-17.229073,-11.028817,-14.73898509,2.05046494130644,0.08153988,0.1696989144766,-6.402898,-4.1083097,-5.176904734,0.80911859548918,0.031955823,0.0247141590757227,-22.425138,-19.674152,-21.19371176,0.741995182593364,0.06513271,0.09360248002093,-8.099853,2.4637136,-4.309766716314,2.45783241002743,0.157755017,0.694048288500858,-5.1380634,17.399992,9.89453021589999,8.6588456117013,0.241916324,1.95595236860929,-28.548428,-22.489939,-26.04031483,1.82090511132852,0.11061904,0.26733683523258,-26.761112,-16.17586,-21.27030979,2.49793713517671,0.27833154,2.0230584259491,-12.786657,-6.837443,-10.524082206,1.88477242111008,0.07513773,0.15189073884365,9.171192,11.35614,10.15257731,0.64513366398868,0.04618589,0.04302171406667,22.685308,29.572575,26.32345969,2.24074497888614,0.10216772,0.24849013812096,NE
36,-5.2466235,-1.7001333,-3.683469826,0.908974482630475,0.054200659,0.0626113123399759,4.0184493,5.4384756,4.723544301,0.331948885747584,0.030343167,0.0270963010942585,5.150017,6.444694,5.68777483,0.325075328577042,0.021954653,0.0106006953422095,16.051466,17.235231,16.40521995,0.347273052151493,0.0257118099999999,0.0161255701240299,-4.7677517,-4.3245687,-4.585695402,0.089175646770629,0.009154628,0.002136748823692,-17.090374,-16.82889,-16.97033975,0.063529243432442,0.00435066000000003,0.000407025579440003,-14.833865,-12.262117,-13.334934125,0.654767403626343,0.039968635,0.0324481432919325,-6.3424644,-4.807003,-5.474327649,0.397642150709594,0.021793265,0.0103965845474957,-23.296236,-20.338581,-21.88318059,0.662467196827211,0.05144374,0.0615885542378399,-8.612206,-2.3067613,-5.346238307,1.35783256533859,0.106315362,0.277224694595383,-4.8838863,13.084207,7.6403845244,6.29963627372631,0.313873136,3.43680830687251,-30.137312,-24.453856,-27.34254167,1.40351404580023,0.06834737,0.13473683329819,-32.838192,-19.910915,-23.79130988,3.05163085997152,0.24005029,2.30324065799475,-10.2088,-7.7452507,-8.690056555,0.569116613236781,0.046092158,0.0474034814725114,8.313829,9.919391,9.18956304,0.431079661829673,0.02010598,0.00838988276478,22.68643,26.368122,24.87313047,1.1715766721665,0.05659388,0.0754796274219801,NE
37,37.845566,38.376144,38.15122601,0.145294074197327,0.01101427,0.00267220417917001,-2.9048526,-2.7236187,-2.810913476,0.0435173564678337,0.00497131,0.0005113458456986,-2.6868873,-2.1965086,-2.453012559,0.130943289378394,0.010264288,0.002155392307496,-29.666368,-29.512297,-29.58490635,0.0446372890981047,0.00363627000000001,0.000306111646810002,0.035900436,0.2685356,0.13724124522,0.0616398642232346,0.00316537166,0.000240129915192976,-0.6734698,0.00824952,-0.31008085156571,0.205153485171376,0.0065829117,0.000930682534359655,-39.72908,-39.156605,-39.4681299,0.155026839261804,0.01163675,0.00302424135231002,-4.1816883,-3.776721,-3.951667147,0.113028736639033,0.011099989,0.0025468785211547,-16.443092,-15.124838,-15.746617475,0.367372626833295,0.02210766,0.01066901861474,-26.350323,-25.329908,-25.61952704,0.263412503984669,0.01446481,0.00472864136947001,20.981457,22.191168,21.40189748,0.355068804773985,0.01491665,0.00605279858537001,24.582256,24.84648,24.7069295,0.0622169817965215,0.00706053000000001,0.00104790878267,-5.2300816,-4.404194,-4.936469243,0.273685802008628,0.024271084,0.0137521601322624,-28.835949,-28.48945,-28.70005416,0.088264384011581,0.00874062999999996,0.00170912560686999,-2.7721434,-2.4082031,-2.605425255,0.0829634838439888,0.008339778,0.0014716320220434,20.999432,22.203495,21.72310003,0.325995327425752,0.03046167,0.0206215542906501,NE
38,30.98833,39.857704,38.44287848,1.25663880924576,0.10075646,0.79181438775022,-3.112776,0.25163135,-2.80768490154,0.615904593555348,0.0386159155,0.113843198857847,-4.4660935,-2.559101,-2.983453652,0.46985622853545,0.023798376,0.0235404828715444,-29.606928,-28.331821,-29.39123307,0.280012073528017,0.01346103,0.00977416842694997,-0.042018216,0.42654863,0.3230125270396,0.0802360674690835,0.00634906226,0.00181713327740469,0.007821605,1.0917807,0.34401543592,0.225188884488888,0.01120852965,0.00496913414039104,-40.120396,-32.195427,-39.37173547,1.20411948562954,0.08775704,0.63014468682702,-10.573322,-3.7966008,-4.327292412,1.25102029738832,0.075297947,0.443303740882666,-15.506232,-1.6413757,-14.38053999,2.38940331209825,0.148417193,1.74388547702328,-25.375948,-5.566516,-24.08109202,3.19146654199197,0.20209743,3.73489064887587,-6.724967,21.105215,18.67291529016,6.1494659273678,0.28279784,7.39559155590858,-4.7117143,24.769964,21.959578452,7.0479182309151,0.295271053,8.29263499145399,-5.14376,13.6742935,-3.469147558,3.98666479246376,0.200132051,3.28732892665763,-28.921448,-14.573858,-27.60752799,3.20492313153422,0.15007182,2.03338686988094,-4.8937154,-2.4111016,-2.736073484,0.524248339090915,0.031454321,0.0586901097960285,1.201493,22.688162,20.688064983,4.56136050909542,0.23077383,4.35983725945717,NE
